,price
3241,1000.0
3242,140.0
3245,113.0
3247,51.0
3248,799.0
3249,201.0
3250,499.0
3252,550.0
3253,150.0
3254,751.0
3256,1001.0
3258,184.0
3260,113.0
3262,188.0
3265,219.0
3268,441.0
3270,201.0
3271,799.0
3272,126.0
3274,449.0
3278,130.0
3281,421.0
3284,89.0
3285,321.0
3286,130.0
3288,599.0
3289,201.0
3290,451.0
3292,201.0
3293,1000.0
3294,150.0
3296,75.0
3298,311.0
3299,181.0
3300,96.0
3301,191.0
3302,451.0
3305,201.0
3306,106.0
3307,499.0
3308,348.0
3309,700.0
3312,499.0
3313,99.0
3315,400.0
3317,99.0
3318,699.0
3319,338.0
3321,249.0
3322,208.0
3323,888.0
3325,400.0
3328,601.0
3329,103.0
3332,471.0
3333,902.0
3335,801.0
3339,174.0
3340,499.0
3341,127.0
3343,44.0
3345,499.0
3346,301.0
3347,89.0
3348,171.0
3349,342.0
3350,140.0
3352,201.0
3353,150.0
3354,699.0
3355,102.0
3356,167.0
3357,854.0
3358,956.0
3359,488.0
3360,167.0
3361,499.0
3363,79.0
3364,1001.0
3365,150.0
3367,61.0
3368,301.0
3370,499.0
3372,250.0
3373,199.0
